,,MNB,BNB,GNB,DTC,LOGR,KNN,SVCL,SVCLP,SVCR,BAGK,BAGNB,BAGL,BAGD
,django-rest-framework,0.813953,1,1,1,1,1,1,1,1,0.968992,0.782946,1,0.943152
,jax,0.606061,0.699495,0.691919,0.689394,0.686869,0.65404,0.689394,0.676768,0.686869,0.691919,0.608586,0.689394,0.699495
,localstack,0.534615,0.496154,0.486538,0.532692,0.519231,0.553846,0.523077,0.509615,0.519231,0.525,0.534615,0.521154,0.534615
,numpy,0.94898,1,1,1,1,0.993878,1,1,1,0.963265,0.893878,1,0.959184
,open pilot,0.981504,1,1,1,1,1,1,1,1,0.995068,0.963009,1,0.990136
,poetry,0.558491,0.603774,0.611321,0.441509,0.622642,0.554717,0.637736,0.596226,0.641509,0.588679,0.562264,0.618868,0.509434
,redash,0.713402,0.713402,0.686598,0.672165,0.715464,0.682474,0.709278,0.721649,0.721649,0.686598,0.713402,0.715464,0.668041
,scrapy,0.897959,1,1,1,1,1,1,1,1,0.84898,0.787755,0.991837,0.979592
,spaCy,0.768639,1,1,1,1,1,1,1,1,0.957396,0.690533,0.937278,1
,transformers,0.616162,0.614478,0.607744,0.577441,0.614478,0.550505,0.614478,0.609428,0.607744,0.616162,0.616162,0.611111,0.589226
,yolov5,0.649231,0.647692,0.610769,0.641538,0.649231,0.610769,0.649231,0.649231,0.649231,0.647692,0.649231,0.649231,0.638462
