,,MNB,BNB,GNB,DTC,LOGR,KNN,SVCL,SVCLP,SVCR,BAGK,BAGNB,BAGL,BAGD
,jax,-0.040351,0.343014,0.338193,0.319027,0.324959,0.249314,0.342076,0.315349,0.322997,0.32593,0,0.342076,0.342936
,localstack,0,0.00464,-0.016768,0.045784,-0.032689,0.093754,-0.037149,-0.065523,-0.020943,0.030475,0,-0.028158,0.050924
,numpy,0.902708,1,1,1,1,0.98783,1,1,1,0.9268,0.806273,1,0.919119
,open pilot,0.963673,1,1,1,1,1,1,1,1,0.990184,0.92858,1,0.98046
,poetry,-0.010548,0.314666,0.186761,-0.150839,0.216962,0.093687,0.254627,0.148324,0.271037,0.170189,0,0.204463,-0.000407
,redash,0,0,0.048771,0.09123,0.08179,0.089835,-0.040786,0.133881,0.133881,0.054409,0,0.08179,0.116545
,scrapy,0.808056,1,1,1,1,1,1,1,1,0.694784,0.618814,0.983637,0.959787
,spaCy,0.582408,1,1,1,1,1,1,1,1,0.914466,0.442751,0.878582,1
,transformers,0,-0.032412,0.10618,0.07011,0.085589,-0.008056,0.084138,0.070765,0.06133,0.147512,0,0.048762,0.08704
,yolov5,0,-0.028853,-0.016399,0.091651,0,0.027762,0,0,0,0.081081,0,0,0.081785
